idx,conversation,Predicted Label,True Label
32,이봐요 아가씨 이렇게 해도 되는 거야? 손님 죄송합니다 내가 여기 단골이야 사장님 어디 있어? 손님 이건 본사 지침이라 어쩔 수가 없어요 됐고 당장 불러와 사장 연락해 드리겠습니다 여기 단골인데 이거 하나 못해줘? 진짜 어이가 없어서. 죄송합니다 내가 말만 하면 이 가게 다신 못 열어. 죄송합니다,3,0
33,철수 씨는 그 학교 나와서 그 연봉 받고 살만해요? 그게 무슨 말씀이시죠? 아니 그렇잖아요. 학교도 좋지 않고 연봉 수준도 낮은데 살기 힘들지 않나 해서. 그건 제가 알아서 할 일이죠. 저는 그냥 걱정돼서. 앞으로 상황이 나아질 것 같지도 않은데. 할 말이 없네요. 그렇죠 미래가 없으니 할 말도 없으시겠죠. 저는 그래도 열심히 살고 있어요. 열심히 살면 뭐해요. 나아지는 게 없을 텐데. 다시 태어나도 불가능할 것 같고. 그만 얘기하고 싶네요.,4,3
34,야 내 것도 하나 사줘 봐 미안 돈이 없어 그럴 줄 알았다 거지새끼 갑자기 왜 그래 뭐가? 거지새끼한테 거지라고 하는데 왜 시비인데 됐다. 거지새끼랑 싸워봤자 합의금도 못 낸다. 내가 뭐 잘못했나? 닥쳐 꼴 보기 싫으니까 그냥 꺼져 거지새끼야 어떡하라고 나보고,1,3
35,선배가 말하는데 대답을 해야지 네 선배님 말하기 전에 대답할 순 없나? 네 선배님 이봐 이봐 창의성이 없어 대답하란다고 대답만 해? 네 선배님 김 팀장이 너네들 데리고 일하느라 속이 터지겠군 앗. 이봐 이봐 선배가 이야기하는데 눈만 껌뻑껌뻑하고 내 속이 다 터지겠네 앞으로 주의하도록 하겠습니다,2,3
36,언니 이것 좀 구경하고 가 아저 바쁜데요 아니 구경하는 데 얼마나 걸린다고 그래 우리 오늘 세일해 한번 봐봐. 아 진짜 바빠서 잠깐 보고만 갈게요 그래그래 잘 생각했어 어머 언니 옷이다 너무 이뻐 잘 어울려 이쁘긴 한데 제가 지금 급하게 어디 가는 데가 있어서 그럼 계산만 하고 가면 되잖아 그럼 보내줄게 네? 그냥 구경만 하고 가라고 언니 그 말 진짜 믿어?? 얼른 하나 사고가 안 그럼 안 보내준다,1,3
37,야 너 왜 돈 안 가지고 오냐? 미안해. 내가 지금 장난치는 걸로 보이냐? 어? 왜 시키는 대로 안 해? 너 내가 오늘까지라고 했냐 안 했냐 안 갖고 오면 너 손모가지 잘라버린다 했냐 안 했냐 미안. 이 새끼가 미안 밖에 할 줄 모르나 아가리 다 찢어버려줄까? 어? 네 새끼 미안 소리 듣자고 내가 시간 내서 네 그 역겨운 면상 보고 있는 줄 아냐고 나 네 동생 년 어디서 아르바이트하는지 다 알거든? 네 집 비번도 내가 알고 있잖아 너네 집 개 그거 맘만 먹으면 언제든지 19층 밖으로 집어던져 줄 수도 있어 하지 마 우리 가족 건들지 마 내가 잘못했어 그러니까 왜 내 입 아프게 자꾸 말하게 하고 내 귀한 시간 자꾸 니깟게 갉아먹냐고 버러지 같은 게 너 같은 건 죽어도 싸 알아? 잘못했어 이게 확 씨 미안이랑 잘못했다는 말밖에 할 줄 모르냐? 돈 갖고 와 이 새끼야 너 우울증 있다며? 개나 소나 우울증 타령이야 여차하면 내가 너 옥상에서 밀어 가지고 떨어뜨리면 그만이야 그럼 사람들이 네가 뛰어내린 줄 알겠지 당연히 내가 너 한 번만 더 기회 준다 진짜 인생이 불쌍해서 아 오늘 너 가기 전에 유서 한 장 쓰고 가라 담번에도 돈 안 갖고 오면 이거 내가 옥상에 네 신발 옆에 고이 놔둬줄 테니까 아니야 내가 꼭 돈 갖고 올게. 멍청한 것들이 꼭 이렇게 구체적으로 가르쳐 줘야 말귀를 알아들어 너도 참 인생 뭐 같아도 죽기는 싫은가 보지?,0,1
38,야 너 미쳤냐 나 이제 오빠의 그 독단적인 성격 못 참아 못 참으면 어쩔 건데 헤어져 그럼 그동안 내가 사준 선물값 음식값 여행 값 다 내놔 오빠 진짜 미쳤어? 아니 미친 건 너지 넌 그동안 내가 너 같은 것과 어울려 준 감사함을 몰라 왜 그렇게까지 해야 해? 넌 진짜 도둑놈 이구나 그건 법적으로 아무 이상 없다고 범죄가 아니야 어디 재판 까지 가? 너 맞아 죽을래? 아님 그냥 돈을 내놓을래? 지금 나한테 협박하는 거야? 진지하게 생각해,0,1
39,지우야 너 카톡 계정 있지? 그것 좀 빌려주라. 네 근데 왜요? 내가 계정이 정지됐는데 비밀번호를 까먹었어 그거 비번 재설정하면 되지 않아요? 아 내가 몰라서 묻는 거 같아? 여러 번 했는데 안돼서 너한테 물어보는 거잖아. 다른 애들한테 부탁하면 안 될까요? 너 안 빌려주면 죽는다. 제발요 너 형이 잘해주니까 무시하냐? 야 이 네,1,3
40,얘들아 왜? 길동 00 진짜 재수 없지 않아? 개짜증 나 걔 존나 구림 아 걔 얼굴 존나 때리고 싶다 토쏠림 아 개 웃겨 아 뭐야 00도 있었네 몰랐다 미안 우리끼리 이야기하게 나가주라 존나 빻은 게 얼굴 보면 존나 때리고 싶어 미안해 내가 잘못했어 머래 그냥 꺼지라고 아 짜증 나 패고 싶어 내 말이 00아 그냥 죽기 싫으면 가만히 짜져 살아 씨발 아가리를 찢어버리고 싶네 그냥 염산 뿌려서 얼굴 형체도 모르게 만들고 싶다,0,3
41,조용히 이혼하고 이 집만 넘겨. 당신이 무슨 자격으로? 무슨 자격이라니? 잊었나 본데 당신 범죄자야 내가 무슨 짓을 했다고 범죄자야? 너 저번에 유미 때렸잖아? 당신이랑 바람난 여자. 그럼 내가 가만히 둬야 해? 유미가 고소 안 하겠다는 조건으로 이 집 내가 받기로 했으니까 조용히 넘기고 사라져. 어쩜. 바람은 당신이 피고 손해는 내가 봐야 해? 어?. 당신 정말 왜 이래. 나 네 돈 보고 결혼한 거야 너 같은 애랑 같이 살아야 할 이유가 돈 말고 또 있었겠어? 빨리 도장 찍고 이 집은 나한테 넘겨. 싫어. 싫다고.,0,1
42,사장님 제 저작권 돌려주세요 시끄러 네가 포기했잖아 실패작이라면서요 됐고 네가 포기한 지금 이 순간 내 저작권이야 와 이런 도둑놈을 봤나 새끼야 인생은 먹고 먹히는 세상이야 사장님 진짜 천벌받아요 이러다가 음 호랑이가 사슴을 잡아먹는다고 천벌받냐? 네? 내가 호랑이고 순진한 자네가 사슴이라고 멍청이야 야 이 새끼야 어휴 그러게 자신을 믿었어야지 남을 믿으면 어쩌냐,3,2
43,어이 거기 누구 담배 있으면 하나만 주라. 갈 때 가더라도 담배 한대 정도는 괜찮잖아? 응? 돛대 한대 드려 오늘 이사회 날이냐? 자성이한테 전해줘라 회장 자리를 다 앉고 새끼 출세했네 넵 거 죽기 딱 좋은 날씨네? 이제 그만 가시지 예 아 잠시 나 아직 담배 다 안 폈는데 뭘 다 펴 인마 그냥 죽어,2,0
44,제발 그만 때리면 안 될까 뭘 그만해 아직도 정신 못 차렸네 난. 난 못해 눈물 나는 우정이네 아오 야 00 관한 소문내라고 네가 안 그러면 00 때릴 거야 애들아 제발 그만해줘. 00는 때리면 안 돼. 그럼 시킨 거 하라고 그러니까 뭐 어려운 일이라고 싫으면 그냥 더 맞아 그냥 나를 때려.,3,0
45,야 이거 줄 테니까 점심까지 만렙 찍어놔. 수업 시간에 휴대폰 쓰면 안 되잖아. 못 하지. 아 뭐래 하라면 하는 거지. 하다가 잘못되면 어떻게 해? 너 혼자 걸리는 거지. 시켰다고 이야기하면 죽는다. 시간도 부족하잖아. 못할 것 같아. 몇 대 맞으면 할래? 맞기 싫어. 못할 것 같아. 맞고 할래? 그냥 할래? 미안해. 못하겠어.,0,3
46,야 어?? 왜 불렀어 너 내 가방 들어 가방??. 니거? 어 내가 방 싫어. 내가 왜 야 맞고 들을래 그냥 들을래? 그냥 들을게 짜증 나게 진짜 여기 오다가 떨어트리면 죽는다 잘 따라와라 알겠어,0,3
47,이거 서류 좀 공증해달라고 아 죄송합니다. 규정상 구비 서류가 없어서 해드릴 수가 없어요. 뭐라고? 너 내가 누군지 알아? 화가 나셨다면 죄송합니다. 그렇지만 해드릴 수가 없는 부분이라 제가 좀 곤란합니다. 너 말고 네 위에 누구야? 제 위에 상사님께 말씀을 드리겠지만 이것은 해드리기가 좀 어려운 부분입니다. 넌 빠지고 네 위에 불러오라고 말씀이 조금 지나치시네요 뭐라고? 손님이 왕인 거 몰라? 네 죄송합니다. 잠시만 기다려주세요.,2,3
48,아니 내기를 했으면 정정당당하게 승부를 인정해야지 내가 안 본 사이에 자네가 홀인원 친불 어떻게 안대? 누가 전화하러 자리 비우래? 그럼 통상적으로 기다려주는 게 예의 아니야? 아 치고 싶어 죽겠는데 자네가 자리를 비웠잖아 그럼 다시 치게 내가 지금 지켜볼 테니 참나 그 돈 아까워서 저 난리야? 자네 구질구질하네 구질구질이라고 했는가? 내가 진짜 열받아서 확 씨 진짜 구질구질한 게 뭔지 보여줘? 아 갑자기 왜 급발진하나 손에 든 골프채는 내려놓고 말하세 내가 이거 내려놓으면 또 돈 주라고 할 거 아닌가 억울하게 진짜 내가 내 눈에서 본 것도 아닌데 진짜 이러면 골프채 다 휘둘러버리는 수가 있어,1,0
49,나 이거 좀 부탁할게 네.? 이거 좀 부탁한다고 이거 제 일이 아닌데. 그러니깐 부탁한다고. 그래도 직장 상사끼리 돕고 살아야지 안 그래.?. 네 그래 잘 부탁해.,1,2
50,당신 손녀를 지금 데리고 있다. 네?? 제 손녀를 데리고 있다고요? 그래. 내가 당신 손녀를 데리고 있어. 무슨 소리세요 제 손녀를 데리고 있다니 당신 손녀를 구하고 싶으면 지금 당장 계좌에 1억을 입금해 1억이라니요 그런 큰돈 없어요 그럼 손녀를 살리고 싶지 않은 건가? 아니요 하지만 그렇게 큰돈을 마련할 수 없어요 제 손녀를 살려주세요 당장 입금하지 않으면 손녀는 죽일 거다 안돼요 무슨 말이에요 제 손녀를 건들지 마세요,1,0
51,아오 이 정신 나간 할머니 할머니 정신 안 차려? 내가 대변 마려우면 얘기하라 했지? 또 더럽게 내가 다 갈아야 하잖아? 미안합니다. 미안합니다. 미안해? 할머니 맞아야 정신 차릴 거 같아. 한 대만 맞자 일로와. 때리지 마. 내 딸한테 연락해 줘. 나 때리지 마. 연락? 왜 할머니 이제 정신 차렸어? 기다려봐 지금 전화 걸어줄 테니까 기저귀 사서 오라고 해. 딸. 나 너무. 무서워. 자꾸 때. 려. 나. 데. 리. 러. 와. 줘. 할머니 지금 장난해? 그걸 왜 말해. 내가 뭐라고 했어. 기저귀 가져오라 말하라고 했지? 소리 지르지 마. 무서워. 나 딸한테 갈 거야. 안되겠네 이 할머니. 할머니 그냥 말 못 하게 이 다 뽑자. 할머니 이 그냥 나이 들어서 자연스럽게 빠졌다고 하면 돼. 그니까 내가 말할 때 잘 들었어야지. 하지 마. 아파. 하지 마 제발 하지 마. 우리 딸한테 연락해 줘. 다음부터 안 그러겠습니다 제발 살려주세요.,3,0
52,김은희 씨. 오늘 일 잘하네요 다음에도 필요할 때 알바 필요하면 연락할게요 감사합니다. 오늘 일 성과가 좋아 인센티브 나오죠? 네. 어 그거 어떻게 아세요? 그냥 알아요 그 인센티브 얼마는 나를 줬으면 하는데요 네. 왜 그러세요 언니. 여기서 계속 일하고 싶으면 내 말대로 하는 게 좋아요. 일하는 거랑 그거랑 무슨 상관이에요? 나는 정규직이고 언니는 알바예요. 내 한마디면 언닌 다시는 여기서 일 못할걸요. 네. 죄송합니다. 그렇게 하겠습니다.,3,2
53,언니 죽었으면 좋겠어요 네 무슨 일이시죠 어 확인하시네요? 네 근데 무슨 일이세요 왜 악플을 보내세요 악플? 그냥 제 생각인데 뭐가 악플인가요? 사람한테 죽으라는 게 악플 아닌가요? 그냥 제 생각이에요. 어쩌겠어요 진짜 앞으로 그러지 마세요. 그리고 왜 저한테 죽으라고 하세요? 에 안 보였으면 좋겠어요. 인스타도 그만하세요 제발. 제가 왜 그래야 되죠? 마음에 안 드니까요? 언니 얼굴 보기 싫어요 제발 사라져주세요 그만해주세요.,0,3
